# time of execution: 2022-08-22 11:23:54
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.8]
### sample paramters ###
# Sample: FGT
# S=2.0
# mu_at=2.0[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5611583299749887e-10	dy=2.5611583299749887e-10	dz=2.5611583299749887e-10	[m]
# atoms per unit cell:1
# asf=0.08
# gep=<scipy.interpolate.interpolate.interp1d object at 0x00000207780E46D0>[W/m^3/K]
# factor cv_el=<scipy.interpolate.interpolate.interp1d object at 0x00000207780E4D10>[J/m^3/K^2]
# cv_ph=<scipy.interpolate.interpolate.interp1d object at 0x00000207780E4EF0>[J/m^3/K]
# R/g_ep = 6.713160777689164e-08[1/s]
# Tc=191[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:2e+22[W/m^3]
# sigma=2e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
-25.0	1.0	100.0	100.0	0	0	0	0
-24.99	0.9997620560248448	100.0	100.0	0.0	0.0	0.0	0.0
-24.98	0.9995247492719116	100.0	100.0	0.0	0.0	0.0	0.0
-24.97	0.99928807751168	100.0	100.0	0.0	0.0	0.0	0.0
-24.96	0.999052038524708	100.0	100.0	0.0	0.0	0.0	0.0
-24.95	0.998816630101574	100.0	100.0	0.0	0.0	0.0	0.0
-24.94	0.9985818500428204	100.0	100.0	0.0	0.0	0.0	0.0
-24.93	0.9983476961589	100.0	100.0	0.0	0.0	0.0	0.0
-24.92	0.9981141662701175	100.0	100.0	0.0	0.0	0.0	0.0
-24.91	0.9978812582065779	100.0	100.0	0.0	0.0	0.0	0.0
-24.9	0.9976489698081286	100.0	100.0	0.0	0.0	0.0	0.0
-24.89	0.9974172989243062	100.0	100.0	0.0	0.0	0.0	0.0
-24.88	0.9971862434142826	100.0	100.0	0.0	0.0	0.0	0.0
-24.87	0.99695580114681	100.0	100.0	0.0	0.0	0.0	0.0
-24.86	0.9967259700001713	100.0	100.0	0.0	0.0	0.0	0.0
-24.85	0.9964967478621217	100.0	100.0	0.0	0.0	0.0	0.0
-24.84	0.9962681326298415	100.0	100.0	0.0	0.0	0.0	0.0
-24.83	0.9960401222098796	100.0	100.0	0.0	0.0	0.0	0.0
-24.82	0.9958127145181043	100.0	100.0	0.0	0.0	0.0	0.0
-24.81	0.995585907479651	100.0	100.0	0.0	0.0	0.0	0.0
-24.8	0.9953596990288693	100.0	100.0	0.0	0.0	0.0	0.0
-24.79	0.9951340871092756	100.0	100.0	0.0	0.0	0.0	0.0
-24.78	0.9949090696734997	100.0	100.0	0.0	0.0	0.0	0.0
-24.77	0.9946846446832344	100.0	100.0	0.0	0.0	0.0	0.0
-24.76	0.9944608101091877	100.0	100.0	0.0	0.0	0.0	0.0
-24.75	0.9942375639310327	100.0	100.0	0.0	0.0	0.0	0.0
-24.74	0.9940149041373572	100.0	100.0	0.0	0.0	0.0	0.0
-24.73	0.9937928287256153	100.0	100.0	0.0	0.0	0.0	0.0
-24.72	0.993571335702079	100.0	100.0	0.0	0.0	0.0	0.0
-24.71	0.9933504230817908	100.0	100.0	0.0	0.0	0.0	0.0
-24.7	0.993130088888514	100.0	100.0	0.0	0.0	0.0	0.0
-24.69	0.9929103311546864	100.0	100.0	0.0	0.0	0.0	0.0
-24.68	0.9926911479213721	100.0	100.0	0.0	0.0	0.0	0.0
-24.67	0.992472537238216	100.0	100.0	0.0	0.0	0.0	0.0
-24.66	0.9922544971633955	100.0	100.0	0.0	0.0	0.0	0.0
-24.65	0.9920370257635737	100.0	100.0	0.0	0.0	0.0	0.0
-24.64	0.9918201211138553	100.0	100.0	0.0	0.0	0.0	0.0
-24.63	0.9916037812977394	100.0	100.0	0.0	0.0	0.0	0.0
-24.62	0.9913880044070744	100.0	100.0	0.0	0.0	0.0	0.0
-24.61	0.9911727885420124	100.0	100.0	0.0	0.0	0.0	0.0
-24.6	0.9909581318109663	100.0	100.0	0.0	0.0	0.0	0.0
-24.59	0.9907440323305605	100.0	100.0	0.0	0.0	0.0	0.0
-24.58	0.9905304882255921	100.0	100.0	0.0	0.0	0.0	0.0
-24.57	0.9903174976289835	100.0	100.0	0.0	0.0	0.0	0.0
-24.56	0.9901050586817395	100.0	100.0	0.0	0.0	0.0	0.0
-24.55	0.9898931695329035	100.0	100.0	0.0	0.0	0.0	0.0
-24.54	0.9896818283395145	100.0	100.0	0.0	0.0	0.0	0.0
-24.53	0.9894710332665656	100.0	100.0	0.0	0.0	0.0	0.0
-24.52	0.9892607824869578	100.0	100.0	0.0	0.0	0.0	0.0
-24.51	0.9890510741814615	100.0	100.0	0.0	0.0	0.0	0.0
-24.5	0.9888419065386724	100.0	100.0	0.0	0.0	0.0	0.0
-24.49	0.9886332777549703	100.0	100.0	0.0	0.0	0.0	0.0
-24.48	0.988425186034476	100.0	100.0	0.0	0.0	0.0	0.0
-24.47	0.9882176295890126	100.0	100.0	0.0	0.0	0.0	0.0
-24.46	0.9880106066380622	100.0	100.0	0.0	0.0	0.0	0.0
-24.45	0.9878041154087274	100.0	100.0	0.0	0.0	0.0	0.0
-24.44	0.9875981541356879	100.0	100.0	0.0	0.0	0.0	0.0
